ROI,PD mean CoV (%),PD sd CoV (%),MT mean CoV (%),MT sd CoV (%),R1 mean CoV (%),R1 sd CoV (%),R2* mean CoV (%),R2* sd CoV(%)
Accumbens,6.43,0.72,13.80,1.48,6.88,1.11,8.14,2.30
Amygdala,7.28,0.23,4.45,1.11,5.55,2.00,6.04,3.11
Caudate,5.23,1.01,6.81,0.75,5.13,1.47,8.53,0.54
Cerebellum White Matter,6.40,0.88,4.86,0.14,6.00,0.29,8.35,1.82
Cerebral White Matter,4.08,0.93,3.52,0.38,6.33,1.54,2.53,0.10
Hippocampus,5.43,0.24,3.45,1.40,4.46,1.78,5.31,2.13
Pallidum,5.69,0.32,3.75,0.24,4.72,1.33,10.11,0.57
Putamen,5.67,0.76,3.38,0.62,3.30,0.74,7.70,0.63
Thalamus Proper,3.89,0.93,4.79,1.03,4.90,0.41,6.02,1.57
Ventral DC,5.55,1.32,6.33,1.63,6.94,2.09,5.65,1.25
Basal Forebrain,10.91,0.62,22.21,0.46,13.14,0.79,10.03,1.58
Anterior Cingulate Gyrus,3.85,2.59,5.19,0.93,7.63,3.00,3.42,2.06
Anterior Insula,6.67,0.60,6.73,0.39,5.64,1.39,4.75,1.02
Anterior Orbital Gyrus,10.12,1.77,7.19,0.84,14.14,4.16,17.55,2.40
Angular Gyrus,7.55,1.52,8.55,0.45,10.26,1.58,9.45,0.40
Calcarine Cortex,6.77,0.80,6.92,0.62,6.09,1.05,6.57,0.12
Central Operculum,6.06,1.06,7.49,0.67,4.95,1.03,4.58,0.87
Cuneus,8.20,0.71,8.56,0.84,8.16,1.52,5.22,0.44
Entorhinal area,8.64,0.41,10.62,0.90,9.19,0.52,4.79,1.07
Frontal Operculum,4.61,1.49,9.12,1.01,7.02,2.11,5.34,0.47
Frontal Pole,11.50,1.41,16.20,1.48,14.29,2.18,20.90,0.28
Fusiform Gyrus,6.26,0.71,5.91,0.46,5.10,0.67,7.03,0.69
Gyrus Rectus,3.40,0.11,8.08,0.73,5.29,2.30,11.06,1.01
Inferior Occipital Gyrus,6.23,1.06,9.40,0.68,5.41,0.50,10.67,1.01
Inferior Temporal Gyrus,7.00,0.62,4.81,0.74,4.70,0.72,10.44,0.31
Lingual Gyrus,5.80,0.73,14.17,0.08,8.15,0.41,6.13,0.45
Lateral Orbital Gyrus,10.55,3.15,11.41,0.76,11.23,4.57,21.98,4.26
Middle Cingulate Gyrus,2.82,1.65,9.63,0.77,9.99,0.84,4.75,0.24
Medial Frontal Cortex,3.13,1.94,5.82,0.44,7.71,2.59,4.94,1.36
Middle Frontal Gyrus,7.85,2.01,7.89,0.98,13.49,2.50,9.12,1.25
Middle Occipital Gyrus,6.97,1.75,11.65,0.69,9.83,0.97,10.18,0.82
Medial Orbital Gyrus,2.96,0.38,8.33,2.81,7.71,3.87,5.55,1.03
Postcentral Gyrus Medial Segment,7.38,1.38,21.55,1.06,21.50,3.14,13.79,0.17
Precentral Gyrus Medial Segment,6.45,1.53,19.85,0.22,19.01,2.43,10.22,0.07
Superior Frontal Gyrus Medial Segment,9.41,2.27,9.92,0.76,15.64,3.48,7.52,1.36
Middle Temporal Gyrus,5.31,0.42,5.22,0.85,4.85,0.77,7.40,0.18
Occipital Pole,11.48,1.85,15.42,0.96,7.47,1.81,35.75,2.39
Occipital Fusiform Gyrus,6.85,0.79,15.62,0.35,6.57,0.88,9.33,1.24
Opercular Part of the Inferior Frontal Gyrus,5.54,1.76,6.68,1.04,4.81,2.96,6.06,1.01
Orbital Part of the Inferior Frontal Gyrus,5.48,2.27,9.80,0.65,8.10,3.10,13.79,2.31
Posterior Cingulate Gyrus,3.99,0.18,11.20,1.30,9.44,0.34,2.95,0.98
Precuneus,6.66,0.66,11.81,0.69,11.58,1.23,5.28,0.23
Parahippocampal Gyrus,5.54,0.52,13.01,0.42,10.43,1.40,10.60,0.69
Posterior Insula,6.81,0.75,10.45,0.65,6.12,1.19,5.45,1.00
Parietal Operculum,4.39,1.29,11.22,0.36,7.57,1.96,5.81,1.08
Postcentral Gyrus,6.39,1.99,9.47,1.03,12.85,2.43,8.80,0.68
Posterior Orbital Gyrus,5.75,0.19,8.61,0.58,5.31,1.90,23.18,1.00
Planum Polare,6.59,0.85,12.17,0.34,6.01,0.55,5.87,1.16
Precentral Gyrus,5.16,1.82,9.03,0.64,12.52,1.01,6.63,0.52
Planum Temporale,6.50,1.25,9.34,0.82,7.62,1.97,6.21,0.62
Subcallosal Area,7.56,1.30,9.78,0.17,6.93,1.91,9.20,2.28
Superior Frontal Gyrus,9.07,1.51,8.05,0.93,15.37,2.26,7.31,1.25
Supplementary Motor Cortex,6.57,2.07,10.19,0.35,15.16,3.19,5.39,0.85
Supramarginal Gyrus,7.13,1.71,9.66,0.60,9.61,0.85,12.08,1.53
Superior Occipital Gyrus,8.35,1.61,15.96,0.13,13.08,1.48,11.91,0.80
Superior Parietal Lobule,7.88,1.08,12.89,0.43,15.01,1.54,8.26,0.14
Superior Temporal Gyrus,7.13,0.79,4.96,0.70,4.50,1.13,5.01,0.16
Temporal Pole,8.18,0.51,5.90,1.06,6.38,0.23,17.11,1.64
Triangular Part of the Inferior Frontal Gyrus,4.43,2.85,7.38,1.40,6.12,2.25,10.77,0.85
Transverse Temporal Gyrus,5.17,0.75,12.52,0.47,6.88,1.13,7.59,1.38
