roi,sub-01,sub-02,sub-04,sub-09,sub-11,sub-12,mean,sd,cov
Accumbens,2.015552729,2.730263464,2.108565184,2.184756089,1.940733267,1.954234422,2.155684192,0.2965230019,13.76%
Amygdala,1.883372539,1.875123858,1.787851465,2.024707515,1.857688756,1.743591104,1.862055873,0.09658156818,5.19%
Caudate,2.292424427,2.175966858,1.92127583,2.285609535,2.289664212,2.270978281,2.205986524,0.1462864166,6.63%
Cerebellum White Matter,3.172138383,3.02581719,2.988944274,3.288907114,2.979052069,3.185629876,3.106748151,0.1268179481,4.08%
Cerebral White Matter,3.409329081,3.279502664,3.328609995,3.573204427,3.337621724,3.374007315,3.383712534,0.1026429987,3.03%
Hippocampus,1.852110686,1.765626623,1.73442569,1.807627268,1.73769488,1.807946727,1.784238646,0.04628125879,2.59%
Pallidum,2.896481798,2.988971935,2.961554324,3.092995111,2.923186042,2.999433099,2.977103718,0.0688753427,2.31%
Putamen,2.301513192,2.393204056,2.319196643,2.344673427,2.232164819,2.322599586,2.318891954,0.05296117382,2.28%
Thalamus Proper,2.685260404,2.59687092,2.479619249,2.732037778,2.48299081,2.53108093,2.584643349,0.106047778,4.10%
Ventral DC,2.856874815,2.4560672,2.609086742,3.011789362,2.561111033,2.72392976,2.703143152,0.2046432251,7.57%
Basal Forebrain,1.846832845,1.444470092,1.084792892,2.080829695,1.834861699,1.567613448,1.643233445,0.3540468012,21.55%
ACgG anterior cingulate gyrus,1.981645815,1.824348401,1.870586324,2.153658626,2.059819501,1.985504911,1.979260596,0.1206291644,6.09%
AIns anterior insula,1.676928677,1.64764393,1.600511123,1.836977084,1.858694295,1.753495726,1.729041806,0.1048039268,6.06%
AOrG anterior orbital gyrus,2.126952328,2.034967412,2.186977051,2.376769058,2.122560721,1.877172577,2.120899858,0.1653251382,7.80%
AnG angular gyrus,2.176047809,1.89429557,1.996570301,2.388720435,2.243432086,2.157065352,2.142688592,0.176096619,8.22%
Calc calcarine cortex,2.217330707,2.314879042,2.213281308,2.312198687,2.040502956,2.437007117,2.255866636,0.1335272857,5.92%
CO central operculum,1.897941149,1.621712285,1.811718049,2.012863257,1.788991524,1.936941603,1.845027978,0.1367743641,7.41%
Cun cuneus,2.08073414,1.832647468,1.967801102,2.122529665,2.172314795,2.327333411,2.08389343,0.170403089,8.18%
Ent entorhinal area,1.716810265,1.364621148,1.754694686,1.932602825,1.772466292,1.849741278,1.731822749,0.1956807768,11.30%
FO frontal operculum,1.918363632,1.826886593,2.111996836,1.898753344,1.570073748,1.942889304,1.878160576,0.1780202618,9.48%
FRP frontal pole,1.928076275,1.780702163,1.473950654,2.225140566,1.739159698,1.487029182,1.77234309,0.283157717,15.98%
FuG fusiform gyrus,2.182091738,1.957858858,2.098896901,2.121929334,1.837801752,2.009846106,2.034737448,0.1254955874,6.17%
GRe gyrus rectus,2.251086432,2.030689395,1.919973831,2.519980704,2.147644655,2.284626863,2.192333647,0.2105366291,9.60%
IOG inferior occipital gyrus,2.442554595,2.202533565,2.162163707,2.741376713,2.414771545,2.190838904,2.359039838,0.2226244382,9.44%
ITG inferior temporal gyrus,2.166962688,2.018952274,2.10032422,2.355907441,2.066434765,2.154586309,2.143861283,0.117562644,5.48%
LiG lingual gyrus,2.069535589,1.968552357,2.079125406,2.265024071,1.754706012,1.523977725,1.94348686,0.2645474162,13.61%
LOrG lateral orbital gyrus,2.125596341,1.943455446,2.043246786,2.295060235,2.002308468,1.58496834,1.999105936,0.2367084138,11.84%
MCgG middle cingulate gyrus,1.929708914,1.924996008,2.157179448,2.383315668,1.940502482,2.14964322,2.080890957,0.183780131,8.83%
MFC medial frontal cortex,2.154414284,1.893285204,1.964069157,2.246034208,1.945368949,2.150819733,2.058998589,0.1427598111,6.93%
MFG middle frontal gyrus,2.216214523,2.094769857,2.037364033,2.519878473,2.074605518,2.063815931,2.167774722,0.1833837806,8.46%
